Row_ID,title,model,battery,price-range,0 - 100,Top Speed,Range*,Efficiency*,Fastcharge*,Germany_price_before_incentives,Netherlands_price_before_incentives,UK_price_after_incentives,Drive_Configuration,Tow_Hitch,Towing_capacity_in_kg,Number_of_seats
117,Ford,Explorer Extended Range AWD,79,131,5.3 sec,180 km/h,430 km,184 Wh/km,690 km/h,"€53,500","€53,950","£53,975",All Wheel Drive,Towbar possible,1200,5
118,Skoda,Enyaq Coupe 85,77,109,6.7 sec,180 km/h,480 km,160 Wh/km,720 km/h,"€51,150","€52,990","£46,440",Rear Wheel Drive,Towbar possible,1000,5
119,Mg,ZS EV Standard Range,49,132,8.6 sec,175 km/h,265 km,185 Wh/km,250 km/h,"€33,990","€35,885","£30,495",Front Wheel Drive,Towbar possible,500,5
120,Fisker,Ocean Extreme,106.5,132,3.9 sec,205 km/h,490 km,217 Wh/km,580 km/h,"€63,590","€63,590","£57,900",All Wheel Drive,Towbar possible,1820,5
121,Volkswagen,ID.7 Tourer Pro,77,130,6.6 sec,180 km/h,460 km,167 Wh/km,710 km/h,"€54,795","€58,990","* £57,000",Rear Wheel Drive,Towbar possible,1000,5
122,Renault,Twingo Electric,21.3,207,12.6 sec,135 km/h,135 km,158 Wh/km,-,"€28,000",N/A,N/A,Rear Wheel Drive,,,4
123,Polestar,4 Long Range Single Motor,94,133,7.4 sec,180 km/h,495 km,190 Wh/km,670 km/h,"€63,200","€64,800","£59,990",Rear Wheel Drive,Towbar possible,1500,5
124,Polestar,4 Long Range Dual Motor,94,158,3.8 sec,200 km/h,465 km,202 Wh/km,630 km/h,"€71,200","€72,800","£66,990",All Wheel Drive,Towbar possible,2000,5
125,Fisker,Ocean Ultra,106.5,115,4.2 sec,200 km/h,510 km,209 Wh/km,610 km/h,"€58,900","€58,990","£50,900",All Wheel Drive,Towbar possible,1820,5
126,Tesla,Model X Plaid,95,271,2.7 sec,262 km/h,455 km,209 Wh/km,630 km/h,"€115,970","€115,993","* £120,000",All Wheel Drive,Towbar possible,2250,7
127,Mg,MG4 Electric XPOWER,61.7,137,3.8 sec,200 km/h,320 km,193 Wh/km,560 km/h,"€46,990","€42,285","£36,495",All Wheel Drive,Towbar possible,500,5
128,Alfa romeo,Junior Elettrica 54 kWh,50.8,127,9.0 sec,150 km/h,315 km,161 Wh/km,500 km/h,"€39,500","€39,000","* £36,000",Front Wheel Drive,,,5
129,Opel,Mokka-e 50 kWh,46.3,154,9.2 sec,150 km/h,260 km,178 Wh/km,420 km/h,"€40,650","€36,999","£36,610",Front Wheel Drive,,,5
130,Kia,EV9 99.8 kWh RWD,96,159,9.4 sec,185 km/h,450 km,213 Wh/km,850 km/h,"€72,490","€67,995","£64,995",Rear Wheel Drive,Towbar possible,900,7
131,Peugeot,e-208 50 kWh,46.3,127,9.0 sec,150 km/h,290 km,160 Wh/km,460 km/h,"€37,475","€35,870","£32,650",Front Wheel Drive,,,5
132,Mercedes-benz,EQE 300,89,137,7.3 sec,210 km/h,525 km,170 Wh/km,660 km/h,"€67,187","€69,928","£68,810",Rear Wheel Drive,Towbar possible,750,5
133,Polestar,2 Standard Range Single Motor,67,118,6.4 sec,205 km/h,405 km,165 Wh/km,480 km/h,"€46,275","€44,950","£44,950",Rear Wheel Drive,Towbar possible,1500,5
134,Volkswagen,ID.7 Tourer GTX,86,142,6.0 sec,180 km/h,480 km,179 Wh/km,770 km/h,"* €65,000","* €65,000","* £65,000",All Wheel Drive,Towbar possible,,5
135,Polestar,2 Long Range Dual Motor,79,125,4.5 sec,205 km/h,450 km,176 Wh/km,670 km/h,"€52,275","€55,200","£52,950",All Wheel Drive,Towbar possible,1500,5
136,Maserati,GranCabrio Folgore,83,530,2.8 sec,290 km/h,395 km,210 Wh/km,870 km/h,"€206,713","€208,250","£185,610",All Wheel Drive,,,4
137,Hyundai,Kona Electric 48 kWh,48.4,138,8.8 sec,160 km/h,295 km,164 Wh/km,280 km/h,"€41,990","€39,995","£34,995",Front Wheel Drive,Towbar possible,300,5
138,Smart,#3 Brabus,62,153,3.7 sec,180 km/h,335 km,185 Wh/km,520 km/h,"€50,990","€50,895","* £45,000",All Wheel Drive,Towbar possible,1600,5
139,Porsche,Macan Turbo Electric,95,239,3.3 sec,260 km/h,480 km,198 Wh/km,960 km/h,"€114,600","€121,000","£95,000",All Wheel Drive,Towbar possible,2000,5
140,Volkswagen,ID.4 Pro 4MOTION,77,119,6.6 sec,180 km/h,425 km,181 Wh/km,630 km/h,"€49,020","€51,990",N/A,All Wheel Drive,Towbar possible,1200,5
141,Lancia,Ypsilon,48.1,131,8.5 sec,150 km/h,305 km,158 Wh/km,470 km/h,"* €40,000","* €40,000",N/A,Front Wheel Drive,,,5
142,Volkswagen,ID.7 Tourer Pro S,86,126,7.0 sec,180 km/h,505 km,170 Wh/km,810 km/h,"* €61,000","* €61,000","* £60,000",Rear Wheel Drive,Towbar possible,,5
143,Fiat,600e,50.8,121,9.0 sec,150 km/h,305 km,167 Wh/km,490 km/h,"€36,490","€35,990","£32,995",Front Wheel Drive,,,5
144,Nissan,Leaf e+,59,121,6.9 sec,157 km/h,340 km,174 Wh/km,240 km/h,"€41,100",N/A,N/A,Front Wheel Drive,,,5
145,Peugeot,e-5008 73 kWh,73,143,9.0 sec,170 km/h,370 km,197 Wh/km,430 km/h,"* €52,000","* €52,000","* £48,000",Front Wheel Drive,Towbar possible,1000,7
146,Mercedes-benz,EQB 350 4MATIC,66.5,187,6.2 sec,160 km/h,345 km,193 Wh/km,500 km/h,"€58,197","€69,728","£56,810",All Wheel Drive,Towbar possible,1700,7
147,Porsche,Taycan Plus,97,193,4.8 sec,230 km/h,560 km,173 Wh/km,1230 km/h,"€107,224","€113,044","£90,954",Rear Wheel Drive,,,5
148,Volkswagen,ID.5 Pro,77,118,6.7 sec,180 km/h,455 km,169 Wh/km,680 km/h,"€48,970","€53,990","£50,940",Rear Wheel Drive,Towbar possible,1000,5
149,Mercedes-benz,EQA 250+,70.5,129,8.6 sec,160 km/h,420 km,168 Wh/km,500 km/h,"€52,205","€52,546","£49,750",Front Wheel Drive,Towbar possible,1500,5
150,Ford,Mustang Mach-E ER AWD,91,156,5.8 sec,180 km/h,445 km,204 Wh/km,390 km/h,"€65,900","€66,940","£65,405",All Wheel Drive,Towbar possible,1500,5
151,Audi,Q8 e-tron Sportback 55 quattro,106,168,5.6 sec,200 km/h,525 km,202 Wh/km,660 km/h,"€87,550","€85,385","£80,300",All Wheel Drive,Towbar possible,1800,5
152,Xpeng,G9 RWD Long Range,93.1,130,6.4 sec,200 km/h,480 km,194 Wh/km,1120 km/h,"€61,600","€63,188",N/A,Rear Wheel Drive,Towbar possible,1500,5
153,Renault,5 E-Tech 40kWh 95hp,40,97,10.0 sec,140 km/h,260 km,154 Wh/km,-,"* €25,000","* €25,000","* £22,000",Front Wheel Drive,Towbar possible,500,5
154,Gwm,ORA 3 48 kWh,45.4,146,8.3 sec,160 km/h,260 km,175 Wh/km,240 km/h,"€38,990",N/A,"£31,995",Front Wheel Drive,,,5
155,Nio,ET7 100 kWh,90,183,3.8 sec,200 km/h,505 km,178 Wh/km,530 km/h,"€90,900","€93,900",N/A,All Wheel Drive,Towbar possible,2000,5
156,Kia,EV6 Standard Range 2WD,54,148,8.5 sec,185 km/h,305 km,177 Wh/km,750 km/h,"€46,990","€43,495",N/A,Rear Wheel Drive,Towbar possible,750,5
157,Skoda,Enyaq 60,58,133,8.7 sec,160 km/h,335 km,173 Wh/km,450 km/h,"€44,200","€44,990","£38,970",Rear Wheel Drive,Towbar possible,1000,5
158,Zeekr,X Privilege AWD,64,143,3.8 sec,180 km/h,345 km,186 Wh/km,580 km/h,"€50,470","€48,490",N/A,All Wheel Drive,Towbar possible,1600,5
159,Peugeot,e-2008 54 kWh,50.8,136,9.1 sec,150 km/h,300 km,169 Wh/km,480 km/h,"€39,450","€41,270","£36,350",Front Wheel Drive,,,5
160,Volkswagen,ID.3 Pro S - 4 Seats,77,106,7.9 sec,160 km/h,455 km,169 Wh/km,680 km/h,"€47,595","€47,990","£42,870",Rear Wheel Drive,Towbar possible,0,4
161,Nio,EL6 100 kWh,90,174,4.5 sec,200 km/h,435 km,207 Wh/km,630 km/h,"€74,500","€76,900",N/A,All Wheel Drive,Towbar possible,1200,5
162,Voyah,Free 106 kWh,100,154,4.4 sec,200 km/h,480 km,208 Wh/km,360 km/h,N/A,"€74,150",N/A,All Wheel Drive,Towbar possible,2000,5
163,Volkswagen,ID. Buzz GTX,79,229,6.5 sec,160 km/h,335 km,236 Wh/km,520 km/h,"* €75,000","* €75,000","* £70,000",All Wheel Drive,Towbar possible,1800,5
164,Dacia,Spring Electric 65 Extreme,25,153,13.7 sec,125 km/h,160 km,156 Wh/km,170 km/h,"€24,550",N/A,N/A,Front Wheel Drive,,,4
165,Mercedes-benz,EQS 580 4MATIC,108.4,267,4.3 sec,210 km/h,590 km,184 Wh/km,880 km/h,"€141,705","€173,825",N/A,All Wheel Drive,Towbar possible,750,5
166,Lucid,Air Touring,92,173,3.2 sec,250 km/h,580 km,159 Wh/km,970 km/h,"€99,000","€102,000",N/A,All Wheel Drive,,,5
167,Bmw,iX M60,105.2,286,3.8 sec,250 km/h,485 km,217 Wh/km,650 km/h,"€136,100","€138,383","£122,775",All Wheel Drive,Towbar possible,2500,5
168,Porsche,Taycan,82.3,212,4.8 sec,230 km/h,485 km,170 Wh/km,1070 km/h,"€101,500","€107,000","£86,500",Rear Wheel Drive,,,5
169,Porsche,Taycan Turbo GT,97,494,2.3 sec,290 km/h,475 km,204 Wh/km,1050 km/h,"€240,000","€249,900","£186,300",All Wheel Drive,,,5
170,Bmw,iX2 eDrive20,64.7,134,8.6 sec,170 km/h,395 km,164 Wh/km,530 km/h,"€49,400","€49,976","£51,615",Front Wheel Drive,Towbar possible,750,5
171,Opel,Corsa Electric 50 kWh,46.3,121,8.7 sec,150 km/h,295 km,157 Wh/km,470 km/h,"€34,650","€34,999","£32,445",Front Wheel Drive,,,5
172,Peugeot,e-308,50.8,150,9.8 sec,170 km/h,300 km,169 Wh/km,450 km/h,"€44,765","€42,070","£42,025",Front Wheel Drive,,,5
173,Volkswagen,ID.4 Pure,52,150,9.0 sec,160 km/h,285 km,182 Wh/km,360 km/h,"€40,335","€44,990",N/A,Rear Wheel Drive,Towbar possible,1000,5
174,Peugeot,e-5008 98 kWh Long Range,98,125,9.7 sec,170 km/h,490 km,200 Wh/km,640 km/h,"* €60,000","* €60,000","* £55,000",Front Wheel Drive,Towbar possible,,7
175,Mg,Marvel R,70,125,7.9 sec,200 km/h,365 km,192 Wh/km,400 km/h,"€46,990","€44,485",N/A,Rear Wheel Drive,Towbar possible,750,5
176,Jaguar,I-Pace EV400,84.7,235,4.8 sec,200 km/h,380 km,223 Wh/km,360 km/h,"€92,400","€95,450","£69,995",All Wheel Drive,Towbar possible,750,5
177,Audi,Q8 e-tron 50 quattro,89,175,6.0 sec,200 km/h,425 km,209 Wh/km,660 km/h,"€74,400","€71,385","£67,800",All Wheel Drive,Towbar possible,1800,5
178,Volkswagen,ID.4 GTX,77,140,5.4 sec,180 km/h,420 km,183 Wh/km,630 km/h,"€53,255","€60,990","£53,865",All Wheel Drive,Towbar possible,1200,5
179,Dacia,Spring Electric 65,25,124,13.7 sec,125 km/h,160 km,156 Wh/km,170 km/h,"* €20,000","€20,950","£15,995",Front Wheel Drive,,,4
180,Xpeng,G6 RWD Standard Range,66,120,6.9 sec,200 km/h,375 km,176 Wh/km,750 km/h,"* €45,000","* €45,000",N/A,Rear Wheel Drive,Towbar possible,,5
181,Nissan,Ariya 63kWh,63,137,7.5 sec,160 km/h,335 km,188 Wh/km,450 km/h,"€47,490","€44,990","£39,645",Front Wheel Drive,Towbar possible,750,5
182,Volvo,EC40 Single Motor ER,79,137,7.3 sec,180 km/h,420 km,188 Wh/km,630 km/h,"€57,190","€53,495","£54,305",Rear Wheel Drive,Towbar possible,1500,5
183,Cupra,Born VZ,79,112,5.7 sec,160 km/h,460 km,172 Wh/km,690 km/h,"* €50,000","* €50,000","* £47,000",Rear Wheel Drive,,,4
184,Volkswagen,ID.3 GTX,79,112,6.0 sec,180 km/h,460 km,172 Wh/km,690 km/h,"* €50,000","* €50,000","* £47,000",Rear Wheel Drive,,,4
185,Audi,Q4 e-tron 55 quattro,77,160,5.4 sec,180 km/h,395 km,195 Wh/km,590 km/h,"€59,000","€64,615","£57,125",All Wheel Drive,Towbar possible,1200,5
186,Peugeot,e-208 51 kWh,48.1,123,8.2 sec,150 km/h,310 km,155 Wh/km,480 km/h,"€40,325","€37,170","£32,400",Front Wheel Drive,,,5
187,Vinfast,VF 9 Extended Range,123,174,6.5 sec,200 km/h,520 km,237 Wh/km,520 km/h,"€89,790","€91,300",N/A,All Wheel Drive,,,7
188,Mercedes-benz,EQB 300 4MATIC,66.5,169,8.0 sec,160 km/h,345 km,193 Wh/km,500 km/h,"€55,519","€61,379",N/A,All Wheel Drive,Towbar possible,1700,7
189,Skoda,Enyaq 85x,77,122,6.6 sec,180 km/h,440 km,175 Wh/km,660 km/h,"€51,150",N/A,"£48,605",All Wheel Drive,Towbar possible,1000,5
190,Kia,e-Soul 64 kWh,64,125,7.9 sec,167 km/h,370 km,173 Wh/km,350 km/h,"€47,450",N/A,"£39,075",Front Wheel Drive,Towbar possible,0,5
191,Renault,Kangoo E-Tech Electric,45,179,12.6 sec,132 km/h,220 km,205 Wh/km,230 km/h,"€39,300",N/A,N/A,Front Wheel Drive,Towbar possible,1500,5
192,Maserati,Grecale Folgore,95,313,4.1 sec,220 km/h,400 km,238 Wh/km,440 km/h,"€124,301","€124,600","£109,905",All Wheel Drive,Towbar possible,1800,5
193,Polestar,3 Long Range Dual motor,107,177,5.0 sec,210 km/h,490 km,218 Wh/km,640 km/h,"€85,590","€86,950","£75,900",All Wheel Drive,Towbar possible,2200,5
194,Lotus,Eletre R,109,326,2.9 sec,260 km/h,455 km,240 Wh/km,950 km/h,"€151,990","€154,090","£121,305",All Wheel Drive,Towbar possible,2250,5
195,Nio,EL7 100 kWh,90,224,3.9 sec,200 km/h,430 km,209 Wh/km,450 km/h,"€94,900","€97,900",N/A,All Wheel Drive,Towbar possible,2000,5
196,Citroen,e-C4 X,46.3,132,9.7 sec,150 km/h,285 km,162 Wh/km,460 km/h,"€37,540","€38,680","£31,995",Front Wheel Drive,,,5
197,Volvo,EX40 Single Motor,67,144,7.3 sec,180 km/h,345 km,194 Wh/km,530 km/h,"€49,990","€45,995","£45,955",Rear Wheel Drive,Towbar possible,1500,5
198,Xpeng,P7 Wing Edition,82.7,155,4.1 sec,200 km/h,455 km,182 Wh/km,730 km/h,"€69,600","€71,188",N/A,All Wheel Drive,,,5
199,Skoda,Enyaq Coupe RS,77,139,5.5 sec,180 km/h,455 km,169 Wh/km,680 km/h,"€63,300","€63,690","£54,820",All Wheel Drive,Towbar possible,1200,5
200,Ford,Mustang Mach-E SR RWD,72.6,141,7.3 sec,180 km/h,380 km,191 Wh/km,460 km/h,"€55,800","€46,300","£50,830",Rear Wheel Drive,Towbar possible,750,5
201,Audi,Q4 Sportback e-tron 45,77,132,6.7 sec,180 km/h,435 km,177 Wh/km,650 km/h,"€54,950","€56,915","£52,245",Rear Wheel Drive,Towbar possible,1000,5
202,Volvo,EX40 Twin Motor,79,164,4.8 sec,180 km/h,385 km,205 Wh/km,570 km/h,"€59,590",N/A,"£57,805",All Wheel Drive,Towbar possible,1800,5
203,Ssangyong,Korando e-Motion,56,139,8.5 sec,156 km/h,290 km,193 Wh/km,330 km/h,"€40,490","€39,990",N/A,Front Wheel Drive,Towbar possible,1500,5
204,Smart,#1 Pro,47,148,6.7 sec,180 km/h,250 km,188 Wh/km,320 km/h,"€37,490",N/A,"£31,950",Rear Wheel Drive,,,5
205,Audi,SQ6 e-tron,94.9,225,4.3 sec,230 km/h,445 km,213 Wh/km,890 km/h,"€93,800","* €100,000","£92,950",All Wheel Drive,Towbar possible,2400,5
206,Seres,3,51,146,8.9 sec,155 km/h,260 km,196 Wh/km,240 km/h,N/A,"€37,995",N/A,Front Wheel Drive,,,5
207,Volvo,EX90 Twin Motor,107,209,5.9 sec,180 km/h,465 km,230 Wh/km,610 km/h,"€91,700","€88,995","£96,255",All Wheel Drive,Towbar possible,2200,7
208,Bmw,i7 eDrive50,101.7,227,5.5 sec,205 km/h,520 km,196 Wh/km,780 km/h,"€115,700","€122,463","£100,205",Rear Wheel Drive,,,5
209,Mini,Cooper E,36.8,150,7.3 sec,160 km/h,230 km,160 Wh/km,350 km/h,"€32,900","€35,990","£30,000",Front Wheel Drive,,,4
210,Audi,Q4 e-tron 45 quattro,77,145,6.6 sec,180 km/h,395 km,195 Wh/km,590 km/h,"€54,950","€56,865","£52,175",All Wheel Drive,Towbar possible,1200,5
211,Opel,Corsa Electric 51 kWh,48.1,124,8.1 sec,150 km/h,315 km,153 Wh/km,490 km/h,"€38,045","€37,999","£35,475",Front Wheel Drive,,,5
212,Bmw,i5 eDrive40 Touring,81.2,170,6.1 sec,193 km/h,455 km,178 Wh/km,730 km/h,"€72,200","€79,622","£69,945",Rear Wheel Drive,Towbar possible,1500,5
213,Mercedes-benz,EQS 450 4MATIC,108.4,189,5.6 sec,210 km/h,610 km,178 Wh/km,910 km/h,"€113,359","€116,955",N/A,All Wheel Drive,Towbar possible,750,5
214,Hongqi,E-HS9 84 kWh,76.5,219,6.5 sec,200 km/h,320 km,239 Wh/km,440 km/h,N/A,"€69,995",N/A,All Wheel Drive,Towbar possible,1500,5
215,Mg,Marvel R Performance,70,148,4.9 sec,200 km/h,350 km,200 Wh/km,380 km/h,"€50,990","€52,485",N/A,All Wheel Drive,Towbar possible,750,5
216,Renault,Scenic E-Tech EV60 170hp,60,123,8.6 sec,150 km/h,340 km,176 Wh/km,400 km/h,"€41,400","€42,470",N/A,Front Wheel Drive,Towbar possible,1100,5
217,Renault,Megane E-Tech EV60 130hp,60,114,10.5 sec,150 km/h,380 km,158 Wh/km,530 km/h,"€47,000","€39,370",N/A,Front Wheel Drive,Towbar possible,500,5
218,Smart,#3 Premium,62,130,5.8 sec,180 km/h,355 km,175 Wh/km,550 km/h,"€46,490","€46,055","* £40,000",Rear Wheel Drive,Towbar possible,1600,5
219,Fiat,500e Hatchback 24 kWh,21.3,228,9.0 sec,135 km/h,135 km,158 Wh/km,230 km/h,"€30,990","€28,990","£28,195",Front Wheel Drive,,,4
220,Renault,Megane E-Tech EV40 130hp,40,151,10.0 sec,150 km/h,260 km,154 Wh/km,370 km/h,"€42,000","€36,370",N/A,Front Wheel Drive,Towbar possible,500,5
221,Genesis,GV60 Premium,74,159,7.8 sec,185 km/h,390 km,190 Wh/km,1020 km/h,N/A,N/A,"£53,905",Rear Wheel Drive,Towbar possible,1600,5
222,Lotus,Emeya,100,206,4.2 sec,250 km/h,530 km,189 Wh/km,1230 km/h,"€106,400","€109,685","£96,255",All Wheel Drive,,,5
223,Opel,Astra Sports Tourer Electric,50.8,141,9.3 sec,170 km/h,310 km,164 Wh/km,500 km/h,"€43,490","€41,499","£39,995",Front Wheel Drive,Towbar possible,0,5
224,Xpeng,P7 RWD Long Range,82.7,102,6.7 sec,200 km/h,495 km,167 Wh/km,800 km/h,"€49,600","€51,188",N/A,Rear Wheel Drive,,,5
225,Mercedes-benz,EQS SUV 450+,118,219,6.8 sec,210 km/h,540 km,219 Wh/km,680 km/h,"€110,801","€125,425",N/A,Rear Wheel Drive,Towbar possible,750,7
226,Renault,5 E-Tech 40kWh 120hp,40,107,9.0 sec,140 km/h,260 km,154 Wh/km,340 km/h,"* €28,000","* €28,000","* £24,000",Front Wheel Drive,Towbar possible,500,5
227,Ford,Mustang Mach-E GT,91,187,3.7 sec,200 km/h,425 km,214 Wh/km,380 km/h,"€77,300","€75,200","£74,540",All Wheel Drive,Towbar possible,750,5
228,Bmw,i7 M70 xDrive,101.7,381,3.7 sec,250 km/h,490 km,208 Wh/km,730 km/h,"€181,800","€189,877","£163,315",All Wheel Drive,,,5
229,Peugeot,e-308 SW,50.8,151,10.0 sec,150 km/h,300 km,169 Wh/km,450 km/h,"€45,765","€42,570","£41,250",Front Wheel Drive,,,5
230,Xpeng,G6 AWD Performance,87.5,125,4.1 sec,200 km/h,480 km,182 Wh/km,960 km/h,"* €60,000","* €60,000",N/A,All Wheel Drive,Towbar possible,,5
231,Mercedes-benz,EQS SUV Maybach 680,118,440,4.4 sec,210 km/h,490 km,241 Wh/km,620 km/h,"€200,634","€216,780","* £200,000",All Wheel Drive,Towbar possible,1800,4
232,Peugeot,e-2008 50 kWh,46.3,144,9.9 sec,150 km/h,270 km,171 Wh/km,430 km/h,"€38,600","€39,270",N/A,Front Wheel Drive,,,5
233,Nissan,Townstar EV Passenger,45,178,12.6 sec,132 km/h,225 km,200 Wh/km,230 km/h,"€39,990",N/A,N/A,Front Wheel Drive,Towbar possible,1500,5
234,Audi,SQ8 e-tron,106,225,4.5 sec,210 km/h,455 km,233 Wh/km,570 km/h,"€95,800","€99,135","£97,500",All Wheel Drive,Towbar possible,1800,5
